"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Washington State Initiative Measure No. 2066","Yes"," ","3402","65.8282","State Executive"
"Adams","Washington State Initiative Measure No. 2066","No"," ","1766","34.1718","State Executive"
"Adams","Washington State Initiative Measure No. 2109","Yes"," ","2571","49.3664","State Executive"
"Adams","Washington State Initiative Measure No. 2109","No"," ","2637","50.6336","State Executive"
"Adams","Washington State Initiative Measure No. 2117","Yes"," ","2969","57.3609","State Executive"
"Adams","Washington State Initiative Measure No. 2117","No"," ","2207","42.6391","State Executive"
"Adams","Washington State Initiative Measure No. 2124","Yes"," ","2869","55.322","State Executive"
"Adams","Washington State Initiative Measure No. 2124","No"," ","2317","44.678","State Executive"
"Adams","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","1455","27.1202","Federal"
"Adams","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","3767","70.2144","Federal"
"Adams","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","75","1.3979","Federal"
"Adams","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","11","0.205","Federal"
"Adams","United States President/Vice President","Claudia De la Cruz / Karina Garcia","Socialism and Liberation Party Nominees","8","0.1491","Federal"
"Adams","United States President/Vice President","Rachele Fruit / Dennis Richter","Socialist Workers Party Nominees","1","0.0186","Federal"
"Adams","United States President/Vice President","Joseph Kishore / Jerry White","Socialist Equality Party Nominees","0","0","Federal"
"Adams","United States President/Vice President","Chase Oliver / Mike ter Maat","Libertarian Party Nominees","20","0.3728","Federal"
"Adams","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","4","0.0746","Federal"
"Adams","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","4","0.0746","Federal"
"Adams","United States President/Vice President","WRITE-IN"," ","20","0.3728","Federal"
"Adams","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","1627","31.4396","Federal"
"Adams","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","3504","67.7101","Federal"
"Adams","United States U.S. Senator","WRITE-IN"," ","44","0.8502","Federal"
"Adams","Congressional District 4 U.S. Representative","Jerrod Sessler","(Prefers Republican Party)","1387","51.2754","Congressional"
"Adams","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","1259","46.5434","Congressional"
"Adams","Congressional District 4 U.S. Representative","WRITE-IN"," ","59","2.1811","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Michael Baumgartner","(Prefers Republican Party)","2034","83.3607","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Carmela Conroy","(Prefers Democratic Party)","401","16.4344","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","WRITE-IN"," ","5","0.2049","Congressional"
"Adams","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","1396","26.4695","State Executive"
"Adams","Washington State Governor","Dave Reichert","(Prefers Republican Party)","3865","73.284","State Executive"
"Adams","Washington State Governor","WRITE-IN"," ","13","0.2465","State Executive"
"Adams","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","1281","24.6157","State Executive"
"Adams","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","3913","75.1922","State Executive"
"Adams","Washington State Lt. Governor","WRITE-IN"," ","10","0.1922","State Executive"
"Adams","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","1419","27.4627","State Executive"
"Adams","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","3740","72.3824","State Executive"
"Adams","Washington State Secretary of State","WRITE-IN"," ","8","0.1548","State Executive"
