"voter_id","county","age","gender"
"001","King","35-44","Female"
"002","Kitsap","65 and over","Male"
"003","Thurston","35-44","Female"
"004","Yakima","25-34","Female"
"005","Snohomish","25-34","Male"
"006","King","45-54","Male"
"007","Pierce","55-64","Female"
"008","Pierce","55-64","Male"
"009","Snohomish","25-34","Male"
"010","Thurston","45-54","Female"
"011","King","45-54","Male"
"012","Whatcom","45-54","Female"
"013","King","55-64","Male"
"014","King","25-34","Male"
"015","Yakima","45-54","Female"
"016","Spokane","25-34","Male"
"017","King","25-34","Male"
"018","King","35-44","Female"
"019","Franklin","45-54","Female"
"020","King","55-64","Male"
"021","Kitsap","45-54","Female"
"022","King","65 and over","Female"
"023","King","18-24","Male"
"024","Snohomish","35-44","Female"
"025","Pierce","65 and over","Female"
"026","Pierce","55-64","Female"
"027","Kitsap","45-54","Female"
"028","King","35-44","Female"
"029","Cowlitz","18-24","Female"
"030","Kitsap","65 and over","Female"
"031","Whatcom","35-44","Male"
"032","Pierce","65 and over","Female"
"033","Lewis","35-44","Male"
"034","Clark","65 and over","Female"
"035","Mason","55-64","Male"
"036","Snohomish","65 and over","Male"
"037","Chelan","18-24","Female"
"038","Island","25-34","Female"
"039","Clallam","65 and over","Female"
"040","Clark","35-44","Female"
"041","Clark","35-44","Female"
"042","Benton","45-54","Female"
"043","Benton","45-54","Male"
"044","King","65 and over","Male"
"045","Snohomish","65 and over","Male"
"046","Thurston","45-54","Male"
"047","Spokane","35-44","Female"
"048","Whatcom","25-34","Male"
"049","King","25-34","Female"
"050","King","25-34","Female"
"051","King","45-54","Male"
"052","Snohomish","65 and over","Female"
"053","King","25-34","Male"
"054","King","65 and over","Male"
"055","Mason","65 and over","Female"
"056","Pierce","45-54","Male"
"057","King","35-44","Female"
"058","Clallam","65 and over","Male"
"059","King","25-34","Female"
"060","Clark","65 and over","Male"
"061","Snohomish","65 and over","Female"
"062","Island","55-64","Male"
"063","Benton","65 and over","Female"
"064","Whatcom","25-34","Male"
"065","Whatcom","25-34","Female"
"066","Thurston","25-34","Female"
"067","Pierce","35-44","Male"
"068","King","55-64","Male"
"069","Clark","45-54","Female"
"070","King","35-44","Female"
"071","Kitsap","35-44","Female"
"072","Grays Harbor","18-24","Male"
"073","Spokane","65 and over","Male"
"074","King","45-54","Female"
"075","King","65 and over","Female"
"076","Lewis","35-44","Male"
"077","Spokane","35-44","Female"
"078","Snohomish","25-34","Male"
"079","Snohomish","25-34","Female"
"080","Kitsap","25-34","Female"
"081","Grant","45-54","Female"
"082","Kitsap","25-34","Male"
"083","Snohomish","25-34","Male"
"084","Jefferson","65 and over","Male"
"085","Spokane","25-34","Female"
"086","Spokane","35-44","Female"
"087","Spokane","65 and over","Male"
"088","Whatcom","35-44","Female"
"089","King","55-64","Female"
"090","Jefferson","35-44","Female"
"091","King","65 and over","Male"
"092","Adams","35-44","Male"
"093","Clark","65 and over","Female"
"094","Clark","55-64","Male"
"095","King","35-44","Female"
"096","Spokane","35-44","Female"
"097","Whatcom","65 and over","Female"
"098","King","55-64","Male"
"099","Yakima","65 and over","Female"
"100","Pierce","65 and over","Male"
"101","Benton","65 and over","Male"
