voter_id,attorney_general_0,attorney_general_1,attorney_general_2,attorney_general_3,attorney_general_4,stability,stability_score,consistency_level
38,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
71,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
77,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
70,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
96,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
20,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
34,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
35,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
54,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
45,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
41,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
82,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
25,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
92,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
87,nick,pete,nick,pete,pete,"[0,1,0,1,1]",0.60,medium
63,pete,nick,pete,nick,nick,"[1,0,1,0,0]",0.60,medium
9,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
3,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
46,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
50,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
16,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
12,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
17,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
93,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
99,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
78,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
22,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
98,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
84,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
89,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
40,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
52,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
85,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
66,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
55,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
83,nick,nick,nick,nick,pete,"[0,0,0,0,1]",0.80,high
64,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
90,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
32,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
24,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
28,nick,nick,nick,nick,pete,"[0,0,0,0,1]",0.80,high
10,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
7,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
31,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
88,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
4,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
62,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
73,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
15,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
23,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
18,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
74,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
19,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
91,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
49,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
48,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
36,nick,nick,nick,nick,pete,"[0,0,0,0,1]",0.80,high
65,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
100,pete,nick,pete,nick,nick,"[1,0,1,0,0]",0.60,medium
72,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
95,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
30,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
81,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
47,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
53,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
79,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
59,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
60,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
39,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
97,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
6,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
5,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
14,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
1,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
29,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
68,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
2,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
75,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
42,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
57,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
26,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
44,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
94,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
56,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
37,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
27,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
11,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
58,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
21,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
67,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
8,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
61,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
43,pete,pete,pete,pete,nick,"[1,1,1,1,0]",0.80,high
69,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
80,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
86,pete,nick,pete,nick,nick,"[1,0,1,0,0]",0.60,medium
13,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
33,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
76,nick,nick,nick,nick,pete,"[0,0,0,0,1]",0.80,high
