voter_id,candidates_view_0,candidates_view_1,candidates_view_2,candidates_view_3,candidates_view_4,stability,stability_score,consistency_level
22,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
92,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
38,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
13,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
63,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
30,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
31,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
58,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
49,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
76,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
8,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
26,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
78,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
67,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
46,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
87,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
90,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
10,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
71,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
98,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
5,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
18,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
79,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
44,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
59,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
28,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
23,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
69,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
17,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
2,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
89,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
45,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
34,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
33,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
11,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
36,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
3,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
53,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
100,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
82,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
54,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
