voter_id,easy_to_predict_0,easy_to_predict_1,easy_to_predict_2,easy_to_predict_3,easy_to_predict_4,stability,stability_score,consistency_level
46,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
23,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
96,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
10,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
54,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
3,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
29,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
59,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
52,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
56,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
60,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
42,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
62,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
66,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
26,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
77,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
5,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
8,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
97,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
19,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
38,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
40,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
47,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
9,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
51,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
84,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
31,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
83,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
73,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
20,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
48,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
11,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
94,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
58,no,no,no,,no,"[0,0,0,-1,0]",0.80,high
1,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
22,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
32,no,,no,,,"[0,-1,0,-1,-1]",0.60,medium
72,no,no,no,,no,"[0,0,0,-1,0]",0.80,high
