voter_id,energy_initiative_0,energy_initiative_1,energy_initiative_2,energy_initiative_3,energy_initiative_4,stability,stability_score,consistency_level
54,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
9,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
10,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
25,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
30,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
2,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
11,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
41,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
20,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
14,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
38,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
19,no,unknown,no,unknown,no,"[0,1,0,1,0]",0.60,medium
74,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
4,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
62,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
47,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
42,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
34,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
85,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
32,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
91,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
79,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
66,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
88,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
55,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
3,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
100,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
22,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
6,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
87,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
17,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
69,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
50,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
18,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
80,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
28,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
57,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
35,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
81,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
