voter_id,gov_services_0,gov_services_1,gov_services_2,gov_services_3,gov_services_4,stability,stability_score,consistency_level
61,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
16,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
37,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
41,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
35,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
67,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
36,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
31,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
22,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
30,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
99,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
84,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
56,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
65,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
10,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
63,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
44,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
58,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
15,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
83,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
25,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
71,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
72,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
52,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
54,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
5,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
27,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
78,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
100,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
81,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
85,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
17,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
48,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
88,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
2,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
69,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
46,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
93,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
66,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
90,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
28,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
97,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
11,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
87,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
39,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
51,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
57,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
55,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
43,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
96,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
4,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
12,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
14,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
42,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
21,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
23,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
1,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
79,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
3,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
64,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
68,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
53,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
8,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
45,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
38,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
98,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
50,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
73,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
6,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
34,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
77,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
76,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
49,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
74,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
47,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
92,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
20,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
9,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
86,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
62,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
18,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
32,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
80,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
40,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
82,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
13,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
75,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
