voter_id,state_treasurer_0,state_treasurer_1,state_treasurer_2,state_treasurer_3,state_treasurer_4,stability,stability_score,consistency_level
61,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
59,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
67,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
32,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
31,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
19,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
28,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
71,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
1,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
50,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
66,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
81,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
26,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
80,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
62,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
92,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
95,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
56,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
14,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
87,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
13,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
44,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
65,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
29,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
42,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
79,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
72,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
55,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
39,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
54,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
5,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
78,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
74,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
77,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
34,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
88,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
52,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
97,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
47,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
22,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
76,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
20,sharon,mike,mike,sharon,mike,"[1,0,0,1,0]",0.60,medium
18,mike,mike,sharon,mike,sharon,"[0,0,1,0,1]",0.60,medium
51,sharon,mike,mike,sharon,mike,"[1,0,0,1,0]",0.60,medium
38,mike,mike,,mike,,"[0,0,-1,0,-1]",0.60,medium
8,sharon,sharon,mike,sharon,mike,"[1,1,0,1,0]",0.60,medium
86,mike,mike,mike,mike,sharon,"[0,0,0,0,1]",0.80,high
10,sharon,sharon,mike,sharon,mike,"[1,1,0,1,0]",0.60,medium
99,mike,mike,sharon,mike,sharon,"[0,0,1,0,1]",0.60,medium
75,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
16,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
49,sharon,sharon,mike,sharon,mike,"[1,1,0,1,0]",0.60,medium
93,mike,mike,sharon,mike,sharon,"[0,0,1,0,1]",0.60,medium
37,sharon,mike,sharon,sharon,sharon,"[1,0,1,1,1]",0.80,high
53,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
7,sharon,mike,sharon,sharon,sharon,"[1,0,1,1,1]",0.80,high
82,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
4,sharon,mike,sharon,sharon,sharon,"[1,0,1,1,1]",0.80,high
36,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
84,sharon,mike,sharon,sharon,sharon,"[1,0,1,1,1]",0.80,high
3,sharon,mike,sharon,sharon,sharon,"[1,0,1,1,1]",0.80,high
64,mike,sharon,sharon,mike,sharon,"[0,1,1,0,1]",0.60,medium
2,sharon,sharon,mike,sharon,mike,"[1,1,0,1,0]",0.60,medium
89,mike,mike,sharon,mike,mike,"[0,0,1,0,0]",0.80,high
43,sharon,mike,mike,sharon,sharon,"[1,0,0,1,1]",0.60,medium
27,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
41,sharon,sharon,sharon,sharon,mike,"[1,1,1,1,0]",0.80,high
57,mike,mike,sharon,sharon,sharon,"[0,0,1,1,1]",0.60,medium
6,sharon,mike,mike,mike,mike,"[1,0,0,0,0]",0.80,high
58,mike,sharon,sharon,mike,sharon,"[0,1,1,0,1]",0.60,medium
69,sharon,,mike,sharon,mike,"[1,-1,0,1,0]",0.40,low
