voter_id,vote_democrat_0,vote_democrat_1,vote_democrat_2,vote_democrat_3,vote_democrat_4,stability,stability_score,consistency_level
78,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
89,yes,no,no,no,no,"[1,0,0,0,0]",0.80,high
1,no,yes,yes,yes,yes,"[0,1,1,1,1]",0.80,high
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
31,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
69,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
87,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,no,yes,yes,yes,yes,"[0,1,1,1,1]",0.80,high
41,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
97,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
9,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
86,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
77,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
92,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
32,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
23,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
28,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
34,no,yes,yes,yes,yes,"[0,1,1,1,1]",0.80,high
56,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
74,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
8,no,,no,,,"[0,-1,0,-1,-1]",0.60,medium
38,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
57,yes,no,no,no,no,"[1,0,0,0,0]",0.80,high
53,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
19,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
84,no,no,no,,no,"[0,0,0,-1,0]",0.80,high
98,no,no,no,,no,"[0,0,0,-1,0]",0.80,high
55,yes,yes,yes,,yes,"[1,1,1,-1,1]",0.80,high
72,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
73,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
15,no,no,yes,no,no,"[0,0,1,0,0]",0.80,high
80,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,yes,,no,,,"[1,-1,0,-1,-1]",0.60,medium
10,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
33,yes,yes,no,,yes,"[1,1,0,-1,1]",0.60,medium
48,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
46,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
5,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
93,yes,no,yes,no,yes,"[1,0,1,0,1]",0.60,medium
47,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
17,no,no,yes,no,no,"[0,0,1,0,0]",0.80,high
70,yes,yes,no,yes,yes,"[1,1,0,1,1]",0.80,high
42,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
54,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
27,no,yes,yes,yes,yes,"[0,1,1,1,1]",0.80,high
20,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
59,yes,,yes,yes,,"[1,-1,1,1,-1]",0.60,medium
16,no,yes,no,yes,yes,"[0,1,0,1,1]",0.60,medium
96,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
94,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
62,yes,no,yes,no,no,"[1,0,1,0,0]",0.60,medium
100,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
21,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
52,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
51,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
81,no,yes,no,no,yes,"[0,1,0,0,1]",0.60,medium
6,yes,yes,no,yes,yes,"[1,1,0,1,1]",0.80,high
35,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
43,no,yes,no,no,yes,"[0,1,0,0,1]",0.60,medium
26,yes,yes,,yes,yes,"[1,1,-1,1,1]",0.80,high
14,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
18,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
79,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
58,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
60,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
30,no,yes,no,yes,yes,"[0,1,0,1,1]",0.60,medium
2,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
67,no,yes,no,yes,yes,"[0,1,0,1,1]",0.60,medium
39,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
88,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
3,no,yes,yes,yes,yes,"[0,1,1,1,1]",0.80,high
85,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
68,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
90,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
61,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
4,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
29,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
63,no,no,no,yes,no,"[0,0,0,1,0]",0.80,high
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
75,no,no,no,,no,"[0,0,0,-1,0]",0.80,high
11,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
