vote_republican_0,vote_republican_1,vote_republican_2,vote_republican_3,vote_republican_4,stability,stability_score,consistency_level
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
