voter_id,what_party_0,what_party_1,what_party_2,what_party_3,what_party_4,stability,stability_score,consistency_level
1,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
91,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
60,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
30,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
96,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
79,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
12,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
50,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
68,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
69,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
75,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
3,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
2,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
63,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
37,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
25,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
61,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
92,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
13,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
93,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
17,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
94,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
32,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
55,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
66,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
77,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
29,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
98,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
7,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
74,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
10,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
51,republican,republican,democrat,republican,republican,"[1,1,0,1,1]",0.80,high
34,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
6,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
83,republican,republican,democrat,republican,republican,"[1,1,0,1,1]",0.80,high
21,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
89,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
31,republican,republican,democrat,democrat,republican,"[1,1,0,0,1]",0.60,medium
54,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
4,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
16,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
18,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
19,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
59,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
84,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
88,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
56,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
47,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
28,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
58,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
82,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
85,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
78,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
72,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
15,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
46,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
9,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
57,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
49,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
73,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
8,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
53,democrat,democrat,republican,republican,democrat,"[0,0,1,1,0]",0.60,medium
42,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
41,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
26,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
20,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
62,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
35,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
45,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
70,democrat,democrat,republican,republican,democrat,"[0,0,1,1,0]",0.60,medium
33,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
48,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
5,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
24,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
97,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
11,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
80,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
43,democrat,democrat,democrat,republican,democrat,"[0,0,0,1,0]",0.80,high
14,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
67,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
100,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
27,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
36,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
38,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
81,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
40,democrat,democrat,democrat,,democrat,"[0,0,0,-1,0]",0.80,high
22,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
52,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
39,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
71,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
23,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
44,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
95,,democrat,democrat,democrat,democrat,"[-1,0,0,0,0]",0.80,high
90,,democrat,democrat,democrat,democrat,"[-1,0,0,0,0]",0.80,high
65,,democrat,democrat,democrat,democrat,"[-1,0,0,0,0]",0.80,high
76,,republican,republican,republican,republican,"[-1,1,1,1,1]",0.80,high
64,,democrat,,,democrat,"[-1,0,-1,-1,0]",0.60,medium
86,,democrat,democrat,democrat,democrat,"[-1,0,0,0,0]",0.80,high
99,,democrat,,democrat,democrat,"[-1,0,-1,0,0]",0.60,medium
87,,democrat,democrat,,democrat,"[-1,0,0,-1,0]",0.60,medium
