voter_id,candidates_view_0,candidates_view_1,candidates_view_2,candidates_view_3,candidates_view_4,stability,stability_score,consistency_level
64,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
19,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
69,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
85,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
81,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
71,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
91,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
83,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
17,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
75,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
7,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
57,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
58,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
3,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
5,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
22,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
90,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
55,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
18,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
11,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
12,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
48,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
92,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
70,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
96,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
36,b,a,b,b,a,"[1,0,1,1,0]",0.60,medium
72,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
56,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
49,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
66,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
53,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
93,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
32,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
84,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
8,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
94,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
41,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
47,a,a,b,b,b,"[0,0,1,1,1]",0.60,medium
51,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
68,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
97,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
37,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
21,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
15,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
25,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
78,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
6,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
23,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
29,a,a,b,b,b,"[0,0,1,1,1]",0.60,medium
99,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
98,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
76,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
31,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
1,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
28,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
82,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
40,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
59,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
43,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
20,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
62,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
60,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
30,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
42,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
73,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
61,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
45,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
24,a,a,b,a,a,"[0,0,1,0,0]",0.80,high
44,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
34,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
87,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
35,a,a,b,b,a,"[0,0,1,1,0]",0.60,medium
38,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
9,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
46,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
54,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
80,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
13,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
67,a,a,b,b,a,"[0,0,1,1,0]",0.60,medium
33,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
10,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
14,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
95,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
86,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
63,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
27,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
77,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
79,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
26,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
74,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
39,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
4,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
100,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
16,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
50,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
65,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
52,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
88,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
89,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
