carbon_tax_initiative_0,carbon_tax_initiative_1,carbon_tax_initiative_2,carbon_tax_initiative_3,carbon_tax_initiative_4,stability,stability_score,consistency_level
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,no,no,no,no,"[1,0,0,0,0]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,no,no,no,no,"[1,0,0,0,0]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,no,no,no,no,"[1,0,0,0,0]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,no,no,no,no,"[1,0,0,0,0]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,no,no,no,no,"[1,0,0,0,0]",0.60,medium
yes,no,no,no,no,"[2,0,0,0,0]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,no,no,no,no,"[1,0,0,0,0]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
unknown,yes,yes,yes,yes,"[1,2,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,yes,no,yes,yes,"[0,2,0,2,2]",0.40,low
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,no,no,no,no,"[1,0,0,0,0]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
