voter_id,corporation_profit_0,corporation_profit_1,corporation_profit_2,corporation_profit_3,corporation_profit_4,stability,stability_score,consistency_level
47,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
34,a,a,b,b,a,"[0,0,1,1,0]",0.60,medium
40,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
38,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
41,a,a,b,b,a,"[0,0,1,1,0]",0.60,medium
63,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
22,a,a,b,b,a,"[0,0,1,1,0]",0.60,medium
90,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
89,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
45,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
18,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
15,a,a,b,b,a,"[0,0,1,1,0]",0.60,medium
49,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
70,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
75,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
81,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
94,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
9,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
6,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
39,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
19,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
11,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
72,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
65,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
20,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
4,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
13,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
2,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
37,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
62,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
44,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
27,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
24,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
64,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
85,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
