governor_0,governor_1,governor_2,governor_3,governor_4,stability,stability_score,consistency_level
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,dave,bob,bob,bob,"[0,1,0,0,0]",0.80,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,dave,bob,bob,bob,"[0,1,0,0,0]",0.80,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
bob,dave,dave,dave,dave,"[0,1,1,1,1]",0.80,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
dave,dave,dave,dave,dave,"[1,1,1,1,1]",1.00,high
bob,dave,bob,bob,bob,"[0,1,0,0,0]",0.80,high
bob,bob,bob,bob,bob,"[0,0,0,0,0]",1.00,high
