insurance_initiative_0,insurance_initiative_1,insurance_initiative_2,insurance_initiative_3,insurance_initiative_4,stability,stability_score,consistency_level
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,unknown,no,unknown,no,"[0,1,0,1,0]",0.40,low
no,yes,no,yes,yes,"[0,2,0,2,2]",0.40,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
unknown,unknown,unknown,unknown,no,"[1,1,1,1,0]",0.60,medium
no,yes,no,yes,yes,"[0,2,0,2,2]",0.40,low
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,no,yes,unknown,yes,"[2,0,2,1,2]",0.30,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
no,yes,no,no,no,"[0,2,0,0,0]",0.60,medium
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
no,yes,yes,yes,yes,"[0,2,2,2,2]",0.60,medium
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
no,yes,yes,yes,yes,"[0,2,2,2,2]",0.60,medium
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
unknown,yes,unknown,yes,yes,"[1,2,1,2,2]",0.40,low
no,yes,yes,yes,yes,"[0,2,2,2,2]",0.60,medium
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
no,yes,no,unknown,no,"[0,2,0,1,0]",0.30,low
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
no,yes,yes,yes,no,"[0,2,2,2,0]",0.40,low
no,yes,yes,yes,yes,"[0,2,2,2,2]",0.60,medium
unknown,unknown,unknown,unknown,yes,"[1,1,1,1,2]",0.60,medium
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
no,yes,yes,yes,no,"[0,2,2,2,0]",0.40,low
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
no,unknown,yes,unknown,no,"[0,1,2,1,0]",0.20,low
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
yes,yes,no,yes,no,"[2,2,0,2,0]",0.40,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,no,yes,unknown,yes,"[2,0,2,1,2]",0.30,low
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,unknown,yes,unknown,yes,"[0,1,2,1,2]",0.20,low
no,no,yes,unknown,no,"[0,0,2,1,0]",0.30,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
no,unknown,no,unknown,no,"[0,1,0,1,0]",0.40,low
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,yes,yes,yes,yes,"[0,2,2,2,2]",0.60,medium
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
unknown,yes,unknown,yes,yes,"[1,2,1,2,2]",0.40,low
no,yes,yes,yes,yes,"[0,2,2,2,2]",0.60,medium
no,yes,yes,yes,no,"[0,2,2,2,0]",0.40,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
yes,no,yes,unknown,yes,"[2,0,2,1,2]",0.30,low
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
no,yes,yes,yes,yes,"[0,2,2,2,2]",0.60,medium
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
no,yes,yes,unknown,no,"[0,2,2,1,0]",0.20,low
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
no,yes,no,yes,no,"[0,2,0,2,0]",0.40,low
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,no,no,unknown,yes,"[2,0,0,1,2]",0.20,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
yes,unknown,yes,unknown,yes,"[2,1,2,1,2]",0.40,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
no,yes,yes,yes,yes,"[0,2,2,2,2]",0.60,medium
yes,no,yes,unknown,yes,"[2,0,2,1,2]",0.30,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
yes,no,no,no,yes,"[2,0,0,0,2]",0.40,low
no,unknown,yes,unknown,no,"[0,1,2,1,0]",0.20,low
no,no,no,unknown,no,"[0,0,0,1,0]",0.60,medium
