voter_id,state_treasurer_0,state_treasurer_1,state_treasurer_2,state_treasurer_3,state_treasurer_4,stability,stability_score,consistency_level
48,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
14,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
13,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
19,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
46,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
27,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
22,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
78,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
54,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
37,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
8,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
5,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
52,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
16,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
91,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
29,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
30,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
80,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
6,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
61,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
89,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
96,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
95,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
35,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
92,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
83,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
40,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
41,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
73,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
58,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
98,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
18,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
97,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
84,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
34,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
94,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
87,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
9,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
60,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
77,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
57,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
99,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
39,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
50,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
53,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
70,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
4,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
28,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
67,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
1,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
51,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
45,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
49,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
71,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
3,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
88,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
11,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
31,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
85,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
25,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
24,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
90,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
42,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
7,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
17,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
69,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
43,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
93,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
47,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
81,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
82,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
62,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
74,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
36,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
76,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
68,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
21,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
2,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
15,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
59,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
100,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
32,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
86,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
75,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
56,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
66,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
20,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
65,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
26,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
12,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
38,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
64,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
72,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
44,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
63,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
10,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
79,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
33,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
55,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
23,sharon,sharon,sharon,sharon,sharon,"[0,0,0,0,0]",1.00,high
