voter_id,vote_democrat_0,vote_democrat_1,vote_democrat_2,vote_democrat_3,vote_democrat_4,stability,stability_score,consistency_level
69,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
32,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
8,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
98,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
38,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
37,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
15,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
78,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
4,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
77,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
26,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
87,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
85,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
63,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
59,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
55,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
56,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
23,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
27,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
11,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
70,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
48,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
96,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
83,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
50,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
5,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
14,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
18,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
67,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
72,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
73,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
46,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
9,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
19,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
68,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
3,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
86,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
60,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
40,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
89,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
66,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
43,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
51,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
92,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
88,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
90,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
31,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
94,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
91,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
81,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
79,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
42,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
1,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
100,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
16,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
52,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
47,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
29,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
54,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
74,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
99,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
41,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
34,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
28,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
17,no,yes,no,yes,yes,"[0,1,0,1,1]",0.60,medium
62,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
53,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
57,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
84,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
10,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
76,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
22,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
