voter_id,vote_republican_0,vote_republican_1,vote_republican_2,vote_republican_3,vote_republican_4,stability,stability_score,consistency_level
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
50,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
73,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
28,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
57,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
62,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
27,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
14,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
98,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
64,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
100,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
67,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
88,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
54,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
33,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
89,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
24,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
80,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
5,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
19,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
22,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
45,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
63,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
16,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
