voter_id,vote_third_party_0,vote_third_party_1,vote_third_party_2,vote_third_party_3,vote_third_party_4,stability,stability_score,consistency_level
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
66,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
58,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
79,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
69,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
96,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
80,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
56,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
32,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
23,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
98,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
90,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
57,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
97,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
40,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
59,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
50,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
81,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
20,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
6,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
88,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
14,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
11,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
36,yes,yes,no,yes,yes,"[1,1,0,1,1]",0.80,high
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
77,yes,yes,no,yes,yes,"[1,1,0,1,1]",0.80,high
62,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
100,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
67,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
47,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
9,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
38,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
89,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
18,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
26,yes,yes,no,yes,yes,"[1,1,0,1,1]",0.80,high
31,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
43,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
17,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
63,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
72,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
55,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
73,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
16,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
8,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
86,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
48,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
42,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
61,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
53,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
51,no,yes,no,yes,yes,"[0,1,0,1,1]",0.60,medium
4,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
2,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
22,no,yes,no,yes,yes,"[0,1,0,1,1]",0.60,medium
1,no,yes,no,yes,yes,"[0,1,0,1,1]",0.60,medium
27,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
46,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
41,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
10,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
68,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
19,no,yes,no,yes,yes,"[0,1,0,1,1]",0.60,medium
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
94,yes,yes,no,yes,yes,"[1,1,0,1,1]",0.80,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
91,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
83,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
