voter_id,attorney_general_0,attorney_general_1,attorney_general_2,attorney_general_3,attorney_general_4,stability,stability_score,consistency_level
46,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
13,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
42,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
72,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
54,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
20,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
6,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
21,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
60,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
45,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
14,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
85,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
91,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
99,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
30,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
64,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
5,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
31,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
69,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
62,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
28,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
4,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
82,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
22,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
12,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
36,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
26,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
17,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
29,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
1,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
38,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
67,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
89,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
83,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
37,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
80,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
47,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
15,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
32,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
27,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
55,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
92,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
86,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
96,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
24,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
50,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
2,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
35,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
98,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
63,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
39,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
88,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
48,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
52,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
33,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
75,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
84,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
79,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
93,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
9,pete,nick,pete,pete,pete,"[1,0,1,1,1]",0.80,high
49,nick,pete,nick,nick,nick,"[0,1,0,0,0]",0.80,high
8,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
3,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
71,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
68,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
81,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
23,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
59,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
25,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
16,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
7,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
90,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
76,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
44,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
94,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
56,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
41,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
73,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
74,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
87,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
53,pete,nick,pete,pete,pete,"[1,0,1,1,1]",0.80,high
95,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
10,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
34,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
97,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
100,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
78,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
18,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
51,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
57,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
40,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
61,pete,nick,pete,pete,pete,"[1,0,1,1,1]",0.80,high
11,nick,pete,nick,nick,nick,"[0,1,0,0,0]",0.80,high
66,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
65,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
43,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
58,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
70,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
19,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
77,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
