voter_id,carbon_tax_initiative_0,carbon_tax_initiative_1,carbon_tax_initiative_2,carbon_tax_initiative_3,carbon_tax_initiative_4,stability,stability_score,consistency_level
37,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
46,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
92,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
98,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
26,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
89,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
34,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
9,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
12,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
3,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
38,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
4,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
82,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
88,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
27,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
50,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
48,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
8,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
81,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
97,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
28,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
72,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
20,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
62,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
86,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
5,yes,no,no,yes,no,"[2,0,0,2,0]",0.40,low
56,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
1,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
63,yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
87,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
16,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
43,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
78,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
31,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
79,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
10,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
41,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
66,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
42,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
54,yes,no,yes,no,yes,"[2,0,2,0,2]",0.40,low
17,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
68,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
57,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
44,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
2,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
29,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
6,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
47,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
80,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
14,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
65,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
15,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
45,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
40,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
18,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
23,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
11,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
52,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
32,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
100,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
84,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
91,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
94,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
19,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
58,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
75,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
55,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
22,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
69,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
96,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
24,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
51,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
33,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
60,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
77,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
85,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
59,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
67,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
35,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
74,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
83,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
90,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
