voter_id,corporation_profit_0,corporation_profit_1,corporation_profit_2,corporation_profit_3,corporation_profit_4,stability,stability_score,consistency_level
11,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
46,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
15,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
7,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
33,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
16,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
28,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
53,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
10,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
9,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
61,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
63,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
93,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
72,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
14,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
78,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
95,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
56,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
4,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
23,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
2,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
99,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
81,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
17,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
82,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
100,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
25,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
64,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
22,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
76,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
32,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
50,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
3,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
8,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
48,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
30,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
45,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
59,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
42,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
67,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
90,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
74,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
24,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
97,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
65,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
86,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
13,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
1,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
88,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
44,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
85,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
38,b,b,b,b,unknown,"[1,1,1,1,2]",0.60,medium
47,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
69,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
