voter_id,gov_services_0,gov_services_1,gov_services_2,gov_services_3,gov_services_4,stability,stability_score,consistency_level
64,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
18,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
14,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
91,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
89,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
59,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
81,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
61,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
45,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
51,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
5,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
42,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
26,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
94,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
13,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
32,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
19,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
36,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
99,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
93,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
72,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
58,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
79,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
97,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
22,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
55,a,b,a,a,a,"[0,1,0,0,0]",0.80,high
9,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
54,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
73,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
76,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
44,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
66,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
52,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
16,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
35,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
75,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
63,a,b,a,a,a,"[0,1,0,0,0]",0.80,high
67,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
4,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
85,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
88,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
8,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
50,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
74,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
29,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
25,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
27,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
78,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
82,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
1,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
60,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
46,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
38,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
70,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
96,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
40,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
95,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
98,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
48,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
56,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
6,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
47,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
77,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
100,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
30,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
33,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
34,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
62,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
17,a,b,a,a,a,"[0,1,0,0,0]",0.80,high
49,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
3,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
71,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
87,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
31,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
11,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
41,b,a,b,b,a,"[1,0,1,1,0]",0.60,medium
86,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
23,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
10,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
43,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
80,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
28,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
69,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
53,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
15,a,b,a,a,a,"[0,1,0,0,0]",0.80,high
57,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
2,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
39,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
21,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
65,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
12,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
92,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
37,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
20,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
83,b,a,b,b,b,"[1,0,1,1,1]",0.80,high
24,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
7,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
84,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
68,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
90,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
