voter_id,governor_0,governor_1,governor_2,governor_3,governor_4,stability,stability_score,consistency_level
62,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
12,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
86,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
53,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
34,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
50,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
83,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
76,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
72,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
92,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
29,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
93,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
77,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
47,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
80,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
49,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
18,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
7,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
64,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
94,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
9,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
71,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
14,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
60,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
39,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
85,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
95,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
20,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
5,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
63,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
67,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
22,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
74,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
44,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
65,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
43,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
24,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
97,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
88,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
52,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
4,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
16,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
75,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
2,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
15,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
48,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
30,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
27,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
33,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
66,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
87,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
3,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
11,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
68,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
81,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
98,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
51,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
19,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
70,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
73,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
61,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
45,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
46,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
78,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
42,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
96,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
31,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
57,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
1,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
21,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
56,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
99,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
55,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
28,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
90,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
38,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
35,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
23,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
32,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
84,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
10,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
8,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
37,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
54,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
17,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
82,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
40,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
91,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
89,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
79,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
13,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
100,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
25,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
6,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
59,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
69,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
41,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
58,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
36,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
26,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
