voter_id,insurance_initiative_0,insurance_initiative_1,insurance_initiative_2,insurance_initiative_3,insurance_initiative_4,stability,stability_score,consistency_level
23,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
17,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
42,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
9,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
26,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
16,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
94,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
84,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
57,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
11,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
67,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
50,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
5,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
77,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
91,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
100,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
43,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
63,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
85,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
1,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
69,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
4,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
8,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
14,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
10,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
38,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
98,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
62,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
3,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
92,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
87,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
55,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
13,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
15,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
88,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
78,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
66,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
31,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
51,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
47,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
37,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
80,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
81,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
56,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
52,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
40,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
97,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
73,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
54,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
20,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
60,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
86,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
48,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
6,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
68,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
46,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
90,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
22,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
19,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
28,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
41,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
83,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
29,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
27,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
89,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
74,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
79,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
34,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
30,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
72,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
18,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
32,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
35,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
96,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
2,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
