religion_government_0,religion_government_1,religion_government_2,religion_government_3,religion_government_4
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
a,a,a,a,a
a,a,a,a,a
a,a,a,a,a
b,b,b,b,b
b,b,a,b,b
