voter_id,state_treasurer_0,state_treasurer_1,state_treasurer_2,state_treasurer_3,state_treasurer_4,stability,stability_score,consistency_level
35,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
11,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
20,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
61,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
25,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
5,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
85,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
87,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
89,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
4,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
8,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
49,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
63,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
86,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
18,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
92,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
65,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
79,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
99,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
16,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
40,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
83,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
60,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
90,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
66,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
22,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
95,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
7,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
91,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
15,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
53,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
52,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
38,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
77,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
93,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
33,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
81,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
55,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
59,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
42,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
45,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
84,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
31,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
51,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
3,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
