voter_id,supreme_court_0,supreme_court_1,supreme_court_2,supreme_court_3,supreme_court_4,stability,stability_score,consistency_level
35,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
87,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
22,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
62,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
63,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
61,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
11,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
82,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
44,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
90,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
74,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
45,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
52,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
13,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
65,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
55,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
30,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
29,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
98,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
9,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
88,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
2,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
66,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
58,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
100,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
36,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
8,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
84,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
68,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
93,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
54,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
23,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
14,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
60,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
