voter_id,taxes_initiative_0,taxes_initiative_1,taxes_initiative_2,taxes_initiative_3,taxes_initiative_4,stability,stability_score,consistency_level
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
40,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
56,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
43,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
14,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
79,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
2,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
51,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
18,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
38,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
84,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
47,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
68,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
91,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
37,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
52,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
55,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
46,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
87,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
63,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
96,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
