voter_id,vote_democrat_0,vote_democrat_1,vote_democrat_2,vote_democrat_3,vote_democrat_4,stability,stability_score,consistency_level
59,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
47,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
69,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
54,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
38,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
24,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
28,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
46,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
11,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
78,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
50,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
90,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
2,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
34,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
83,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
66,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
23,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
72,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
8,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
35,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
17,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
14,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
85,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
45,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
73,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
84,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
80,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
81,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
4,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
32,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
49,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
62,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
26,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
31,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
51,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
5,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
41,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
79,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
27,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
48,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
63,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
93,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
74,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
92,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
55,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
97,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
100,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
98,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
29,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
39,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
10,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
40,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
20,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
3,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
19,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
91,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
25,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
86,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
30,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
67,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
6,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
77,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
56,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
68,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
1,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
43,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
42,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
22,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
57,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
9,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
60,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
96,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
21,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
37,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
16,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
18,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
87,no,yes,no,no,no,"[0,1,0,0,0]",0.80,high
94,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
89,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
15,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
64,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
88,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
