voter_id,what_party_0,what_party_1,what_party_2,what_party_3,what_party_4,stability,stability_score,consistency_level
14,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
30,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
90,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
66,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
17,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
99,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
22,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
1,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
7,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
45,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
81,democrat,unknown,democrat,democrat,democrat,"[0,2,0,0,0]",0.60,medium
49,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
10,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
47,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
62,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
84,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
25,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
67,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
96,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
26,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
16,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
38,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
77,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
63,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
46,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
