voter_id,candidates_view_0,candidates_view_1,candidates_view_2,candidates_view_3,candidates_view_4,stability,stability_score,consistency_level
2,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
13,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
62,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
56,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
69,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
8,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
9,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
20,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
34,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
60,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
76,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
26,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
15,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
89,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
61,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
38,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
4,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
27,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
53,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
67,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
21,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
35,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
30,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
41,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
96,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
65,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
52,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
99,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
70,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
40,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
19,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
73,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
24,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
80,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
10,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
93,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
84,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
3,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
39,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
18,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
55,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
90,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
95,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
77,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
85,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
82,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
23,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
100,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
59,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
7,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
68,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
54,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
64,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
91,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
49,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
50,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
25,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
72,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
28,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
31,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
42,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
87,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
81,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
22,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
43,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
48,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
11,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
86,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
74,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
32,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
66,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
16,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
63,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
29,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
47,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
12,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
44,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
97,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
58,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
83,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
17,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
6,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
33,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
5,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
46,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
14,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
57,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
51,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
