easy_to_predict_0,easy_to_predict_1,easy_to_predict_2,easy_to_predict_3,easy_to_predict_4
yes,yes,yes,no,yes
no,no,no,no,no
yes,yes,yes,no,yes
yes,yes,yes,no,yes
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
no,no,no,no,no
yes,yes,yes,no,yes
no,no,no,no,no
no,no,no,no,no
yes,yes,yes,no,yes
no,no,no,no,no
yes,yes,yes,no,yes
no,no,no,no,no
yes,yes,yes,no,yes
no,no,no,no,no
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
no,no,no,no,no
no,no,no,no,no
yes,yes,yes,no,yes
yes,yes,yes,no,yes
yes,yes,yes,no,yes
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
yes,yes,yes,no,yes
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
yes,yes,yes,no,yes
yes,yes,yes,no,yes
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
no,no,no,no,no
yes,yes,yes,no,yes
yes,yes,yes,no,yes
yes,yes,yes,no,yes
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
yes,yes,yes,no,yes
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
no,no,no,no,no
yes,yes,yes,no,yes
yes,yes,yes,no,yes
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
yes,yes,yes,no,yes
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
no,no,no,no,no
no,no,no,no,no
yes,yes,yes,no,yes
no,no,no,no,no
yes,yes,yes,no,yes
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,no,yes
no,no,no,no,no
