voter_id,energy_initiative_0,energy_initiative_1,energy_initiative_2,energy_initiative_3,energy_initiative_4,stability,stability_score,consistency_level
5,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
14,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
94,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
2,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
64,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
29,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
23,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
27,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
74,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
56,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
85,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
84,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
40,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
3,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
96,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
9,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
87,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
81,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
62,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
67,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
70,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
48,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
43,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
73,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
26,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
18,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
42,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
72,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
20,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
4,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
92,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
46,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
51,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
57,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
17,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
28,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
97,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
32,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
86,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
31,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
22,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
78,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
15,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
79,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
39,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
91,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
89,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
47,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
10,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
68,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
83,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
34,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
90,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
52,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
11,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
1,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
38,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
6,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
50,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
37,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
16,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
35,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
63,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
54,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
75,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
59,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
8,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
41,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
80,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
88,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
77,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
60,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
98,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
55,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
100,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
69,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
7,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
