voter_id,gov_services_0,gov_services_1,gov_services_2,gov_services_3,gov_services_4,stability,stability_score,consistency_level
81,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
57,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
77,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
15,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
90,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
36,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
73,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
39,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
31,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
38,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
12,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
3,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
30,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
60,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
40,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
27,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
25,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
26,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
74,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
9,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
44,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
47,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
1,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
23,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
13,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
88,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
5,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
14,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
33,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
80,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
35,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
32,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
48,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
46,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
79,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
52,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
75,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
59,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
96,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
82,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
22,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
10,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
18,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
100,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
97,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
78,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
61,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
53,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
98,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
37,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
4,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
68,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
89,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
69,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
70,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
62,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
93,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
41,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
19,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
56,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
71,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
58,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
29,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
17,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
51,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
94,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
65,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
7,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
49,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
28,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
11,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
2,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
95,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
66,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
87,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
72,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
24,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
86,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
63,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
54,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
99,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
85,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
34,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
55,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
16,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
21,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
20,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
84,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
45,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
43,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
6,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
92,a,a,a,a,b,"[0,0,0,0,1]",0.80,high
42,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
83,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
50,b,b,b,b,a,"[1,1,1,1,0]",0.80,high
64,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
91,,,,,b,"[-1,-1,-1,-1,1]",0.80,high
