voter_id,governor_0,governor_1,governor_2,governor_3,governor_4,stability,stability_score,consistency_level
85,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
79,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
45,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
95,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
75,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
86,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
70,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
15,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
93,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
72,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
80,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
96,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
57,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
4,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
55,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
31,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
13,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
65,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
77,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
78,reichert,ferguson,reichert,ferguson,ferguson,"[1,0,1,0,0]",0.60,medium
91,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
52,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
73,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
90,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
100,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
21,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
28,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
71,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
27,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
46,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
11,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
48,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
81,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
34,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
33,reichert,,,,,"[1,-1,-1,-1,-1]",0.80,high
87,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
63,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
64,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
97,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
17,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
29,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
62,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
1,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
66,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
59,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
68,ferguson,ferguson,reichert,reichert,reichert,"[0,0,1,1,1]",0.60,medium
44,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
82,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
35,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
98,ferguson,ferguson,reichert,ferguson,ferguson,"[0,0,1,0,0]",0.80,high
22,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
25,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
5,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
37,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
23,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
50,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
12,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
2,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
20,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
88,ferguson,ferguson,reichert,reichert,reichert,"[0,0,1,1,1]",0.60,medium
89,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
51,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
42,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
56,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
3,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
36,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
24,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
40,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
54,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
76,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
92,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
7,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
32,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
6,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
47,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
53,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
19,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
41,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
26,ferguson,ferguson,reichert,ferguson,ferguson,"[0,0,1,0,0]",0.80,high
38,ferguson,ferguson,reichert,ferguson,ferguson,"[0,0,1,0,0]",0.80,high
14,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
9,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
39,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
74,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
83,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
61,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
94,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
18,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
67,ferguson,ferguson,ferguson,reichert,reichert,"[0,0,0,1,1]",0.60,medium
69,ferguson,ferguson,reichert,ferguson,ferguson,"[0,0,1,0,0]",0.80,high
84,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
49,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
58,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
16,reichert,reichert,reichert,ferguson,ferguson,"[1,1,1,0,0]",0.60,medium
60,ferguson,ferguson,ferguson,ferguson,ferguson,"[0,0,0,0,0]",1.00,high
99,reichert,reichert,reichert,reichert,reichert,"[1,1,1,1,1]",1.00,high
30,,,,reichert,reichert,"[-1,-1,-1,1,1]",0.60,medium
