voter_id,president_vote_0,president_vote_1,president_vote_2,president_vote_3,president_vote_4,stability,stability_score,consistency_level
79,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
16,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
39,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
84,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
63,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
34,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
28,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
60,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
20,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
3,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
42,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
49,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
97,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
24,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
69,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
87,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
15,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
19,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
94,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
5,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
29,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
91,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
51,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
61,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
82,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
7,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
56,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
26,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
86,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
95,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
33,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
98,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
50,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
37,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
4,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
17,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
14,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
66,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
47,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
90,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
83,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
22,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
80,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
52,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
93,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
75,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
21,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
43,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
96,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
70,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
45,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
48,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
23,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
92,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
2,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
67,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
8,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
27,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
11,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
