voter_id,state_treasurer_0,state_treasurer_1,state_treasurer_2,state_treasurer_3,state_treasurer_4,stability,stability_score,consistency_level
52,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
17,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
100,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
12,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
34,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
95,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
78,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
87,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
88,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
19,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
43,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
38,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
93,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
33,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
70,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
4,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
67,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
14,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
3,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
8,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
28,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
83,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
22,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
80,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
37,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
23,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
91,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
18,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
55,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
54,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
96,sharon,unknown,sharon,sharon,sharon,"[1,2,1,1,1]",0.60,medium
79,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
10,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
24,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
86,sharon,unknown,sharon,sharon,sharon,"[1,2,1,1,1]",0.60,medium
9,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
42,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
84,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
32,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
61,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
1,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
77,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
71,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
57,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
39,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
6,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
53,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
2,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
27,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
47,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
45,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
69,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
98,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
51,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
13,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
