voter_id,supreme_court_0,supreme_court_1,supreme_court_2,supreme_court_3,supreme_court_4,stability,stability_score,consistency_level
73,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
53,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
57,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
25,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
69,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
21,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
71,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
2,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
36,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
92,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
80,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
67,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
17,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
41,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
89,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
93,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
48,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
37,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
81,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
12,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
42,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
60,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
87,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
99,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
47,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
49,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
62,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
75,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
70,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
74,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
77,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
96,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
