voter_id,vote_democrat_0,vote_democrat_1,vote_democrat_2,vote_democrat_3,vote_democrat_4,stability,stability_score,consistency_level
55,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
92,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
68,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
18,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
43,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
87,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
21,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
85,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
42,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
98,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
49,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
63,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
44,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
69,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
91,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
20,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
66,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
67,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
62,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
79,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
11,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
17,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
28,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
88,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
89,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
8,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
6,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
57,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
94,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
78,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
29,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
50,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
12,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
47,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
1,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
77,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
33,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
9,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
99,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
81,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
51,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
37,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
60,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
100,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
84,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
19,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
97,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
22,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
40,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
2,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
3,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
7,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
48,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
56,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
71,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
10,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
64,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
74,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
80,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
54,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
38,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
16,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
27,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
46,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
14,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
35,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
34,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
86,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
52,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
26,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
4,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
90,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
31,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
96,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
72,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
5,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
15,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
83,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
32,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
23,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
