voter_id,vote_republican_0,vote_republican_1,vote_republican_2,vote_republican_3,vote_republican_4,stability,stability_score,consistency_level
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
8,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
39,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
91,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
3,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
85,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
29,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
59,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
46,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
72,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
12,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
23,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
77,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
87,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
81,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
22,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
41,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
14,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
78,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
21,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
73,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
96,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
44,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
88,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
100,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
43,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
9,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
60,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
20,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
98,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
65,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
66,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
18,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
17,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
34,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
4,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
50,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
36,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
19,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
48,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
38,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
89,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
94,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
6,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
79,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
52,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
2,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
69,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
51,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
67,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
74,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
47,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
83,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
63,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
71,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
16,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
15,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
37,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
86,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
90,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
26,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
54,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
99,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
53,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
62,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
40,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
55,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
42,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
68,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
31,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
84,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
28,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
10,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
1,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
35,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
32,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
57,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
97,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
5,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
92,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
56,no,unknown,unknown,unknown,no,"[0,1,1,1,0]",0.40,low
27,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
80,,unknown,unknown,unknown,,"[-1,1,1,1,-1]",0.40,low
