voter_id,what_party_0,what_party_1,what_party_2,what_party_3,what_party_4,stability,stability_score,consistency_level
84,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
7,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
91,democrat,republican,republican,republican,republican,"[0,1,1,1,1]",0.60,medium
51,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
12,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
5,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
93,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
67,democrat,democrat,republican,republican,republican,"[0,0,1,1,1]",0.40,low
34,unknown,unknown,unknown,unknown,democrat,"[2,2,2,2,0]",0.60,medium
75,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
83,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
77,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
72,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
15,republican,democrat,republican,republican,republican,"[1,0,1,1,1]",0.60,medium
21,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
55,democrat,,democrat,democrat,democrat,"[0,-1,0,0,0]",0.60,medium
46,democrat,,democrat,democrat,democrat,"[0,-1,0,0,0]",0.60,medium
90,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
33,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
79,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
52,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
97,republican,democrat,republican,republican,republican,"[1,0,1,1,1]",0.60,medium
31,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
39,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
48,unknown,unknown,unknown,unknown,democrat,"[2,2,2,2,0]",0.60,medium
58,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
47,democrat,democrat,democrat,democrat,,"[0,0,0,0,-1]",0.60,medium
35,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
43,unknown,unknown,unknown,unknown,republican,"[2,2,2,2,1]",0.60,medium
70,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
61,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
22,republican,democrat,republican,republican,republican,"[1,0,1,1,1]",0.60,medium
65,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
6,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
96,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
40,republican,democrat,republican,republican,republican,"[1,0,1,1,1]",0.60,medium
32,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
71,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
50,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
18,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
69,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
28,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
87,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
66,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
85,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
13,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
45,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
19,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
20,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
9,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
94,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
68,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
95,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
36,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
29,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
80,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
78,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
11,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
44,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
89,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
56,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
16,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
64,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
42,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
57,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
60,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
27,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
98,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
1,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
8,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
30,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
24,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
86,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
3,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
81,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
17,republican,democrat,republican,republican,republican,"[1,0,1,1,1]",0.60,medium
88,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
49,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
2,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
54,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
99,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
100,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
38,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
14,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
62,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
23,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
82,,,republican,republican,,"[-1,-1,1,1,-1]",0.40,low
