csv_file,mean_stability_score,std_stability_score
all_covariates_attorney_general.csv,0.9576,0.1001
all_covariates_candidates_view.csv,1.0000,0.0000
all_covariates_carbon_tax_initiative.csv,1.0000,0.0000
all_covariates_corporation_profit.csv,0.9500,0.1314
all_covariates_easy_to_predict.csv,0.9320,0.1456
all_covariates_energy_initiative.csv,0.9200,0.1608
all_covariates_gov_services.csv,1.0000,0.0000
all_covariates_governor.csv,1.0000,0.0000
all_covariates_insurance_initiative.csv,1.0000,0.0000
all_covariates_president_vote.csv,0.9000,0.1670
all_covariates_religion_government.csv,0.9918,0.0398
all_covariates_state_treasurer.csv,0.8180,0.1930
all_covariates_supreme_court.csv,0.9723,0.0754
all_covariates_taxes_initiative.csv,0.9820,0.0642
all_covariates_vote_democrat.csv,0.8960,0.1543
all_covariates_vote_republican.csv,0.9919,0.0566
all_covariates_vote_third_party.csv,0.9800,0.0725
all_covariates_wa_senator.csv,0.9616,0.0889
all_covariates_what_party.csv,0.9420,0.1148
