csv_file,mean_stability_score,std_stability_score
demo_covariates_attorney_general.csv,0.8000,0.2565
demo_covariates_candidates_view.csv,0.9778,0.0898
demo_covariates_carbon_tax_initiative.csv,1.0000,0.0000
demo_covariates_corporation_profit.csv,0.9320,0.1510
demo_covariates_easy_to_predict.csv,0.9917,0.0574
demo_covariates_energy_initiative.csv,1.0000,0.0000
demo_covariates_gov_services.csv,0.9919,0.0488
demo_covariates_governor.csv,0.9980,0.0200
demo_covariates_insurance_initiative.csv,1.0000,0.0000
demo_covariates_president_vote.csv,0.9758,0.0716
demo_covariates_religion_government.csv,0.9899,0.0525
demo_covariates_state_treasurer.csv,1.0000,0.0000
demo_covariates_supreme_court.csv,0.9232,0.1583
demo_covariates_taxes_initiative.csv,0.5400,0.2850
demo_covariates_vote_democrat.csv,0.9957,0.0413
demo_covariates_vote_republican.csv,1.0000,0.0000
demo_covariates_vote_third_party.csv,0.9760,0.0866
demo_covariates_wa_senator.csv,0.9960,0.0281
demo_covariates_what_party.csv,0.9959,0.0404
