csv_file,mean_stability_score,std_stability_score
ses_covariates_attorney_general.csv,0.9440,0.1479
ses_covariates_candidates_view.csv,1.0000,0.0000
ses_covariates_carbon_tax_initiative.csv,0.9760,0.0955
ses_covariates_corporation_profit.csv,0.9240,0.1923
ses_covariates_easy_to_predict.csv,0.8400,0.1969
ses_covariates_energy_initiative.csv,1.0000,0.0000
ses_covariates_gov_services.csv,1.0000,0.0000
ses_covariates_governor.csv,0.9160,0.2092
ses_covariates_insurance_initiative.csv,0.9600,0.1303
ses_covariates_president_vote.csv,1.0000,0.0000
ses_covariates_religion_government.csv,0.7100,0.2894
ses_covariates_state_treasurer.csv,1.0000,0.0000
ses_covariates_supreme_court.csv,0.5380,0.3074
ses_covariates_taxes_initiative.csv,0.9460,0.1726
ses_covariates_vote_democrat.csv,0.8000,0.2771
ses_covariates_vote_republican.csv,0.7580,0.2847
ses_covariates_vote_third_party.csv,0.9320,0.1510
ses_covariates_wa_senator.csv,1.0000,0.0000
ses_covariates_what_party.csv,0.8140,0.2789
