"voter_ID","race","age","gender","urbanicity"
"001","White","18-24","unspecified","urban"
"002","Black/African American","65+","nonbinary","rural"
"003","Other","18-24","nonbinary","urban"
"004","Native American/Alaska Native","45-54","female","urban"
"005","Prefer not to say","55-64","male","urban"
"006","Middle Eastern/North African","45-54","nonbinary","rural"
"007","Prefer not to say","35-44","nonbinary","rural"
"008","Native American/Alaska Native","45-54","unspecified","urban"
"009","Native American/Alaska Native","35-44","male","rural"
"010","Multiracial","35-44","nonbinary","rural"
"011","Asian","35-44","nonbinary","rural"
"012","Multiracial","65+","male","urban"
"013","Middle Eastern/North African","55-64","unspecified","suburban"
"014","Multiracial","18-24","nonbinary","rural"
"015","Middle Eastern/North African","45-54","nonbinary","urban"
"016","Black/African American","45-54","nonbinary","urban"
"017","Multiracial","65+","female","urban"
"018","White","18-24","female","rural"
"019","Prefer not to say","35-44","unspecified","urban"
"020","White","18-24","nonbinary","urban"
"021","Native Hawaiian/Pacific Islander","65+","female","rural"
"022","Prefer not to say","18-24","male","suburban"
"023","Black/African American","25-34","unspecified","urban"
"024","Prefer not to say","65+","male","suburban"
"025","Native American/Alaska Native","55-64","female","rural"
"026","Other","35-44","female","urban"
"027","Prefer not to say","18-24","unspecified","urban"
"028","Asian","18-24","nonbinary","rural"
"029","White","55-64","female","urban"
"030","Asian","18-24","unspecified","urban"
"031","Multiracial","55-64","unspecified","rural"
"032","Native American/Alaska Native","25-34","nonbinary","suburban"
"033","White","18-24","unspecified","rural"
"034","Other","18-24","nonbinary","rural"
"035","Black/African American","55-64","male","rural"
"036","Black/African American","55-64","unspecified","urban"
"037","Hispanic/Latino","65+","female","suburban"
"038","Prefer not to say","45-54","female","suburban"
"039","Asian","55-64","unspecified","rural"
"040","Prefer not to say","35-44","female","suburban"
"041","Native Hawaiian/Pacific Islander","25-34","unspecified","urban"
"042","Middle Eastern/North African","25-34","female","urban"
"043","Middle Eastern/North African","45-54","female","rural"
"044","Native Hawaiian/Pacific Islander","25-34","male","rural"
"045","Multiracial","35-44","female","suburban"
"046","Middle Eastern/North African","35-44","nonbinary","rural"
"047","Asian","18-24","female","suburban"
"048","Native American/Alaska Native","35-44","unspecified","rural"
"049","Other","65+","nonbinary","urban"
"050","Other","18-24","unspecified","rural"
"051","White","25-34","male","urban"
"052","Hispanic/Latino","18-24","unspecified","urban"
"053","Black/African American","18-24","nonbinary","suburban"
"054","Prefer not to say","55-64","unspecified","suburban"
"055","Native Hawaiian/Pacific Islander","25-34","male","rural"
"056","Middle Eastern/North African","25-34","female","urban"
"057","White","65+","female","rural"
"058","Other","45-54","nonbinary","rural"
"059","White","55-64","female","urban"
"060","Other","65+","nonbinary","rural"
"061","Asian","65+","nonbinary","suburban"
"062","White","18-24","nonbinary","urban"
"063","Other","18-24","male","urban"
"064","White","45-54","male","urban"
"065","Native Hawaiian/Pacific Islander","65+","unspecified","rural"
"066","Middle Eastern/North African","18-24","nonbinary","rural"
"067","Native Hawaiian/Pacific Islander","45-54","male","rural"
"068","Prefer not to say","65+","male","rural"
"069","Native Hawaiian/Pacific Islander","35-44","female","suburban"
"070","Black/African American","55-64","female","urban"
"071","Asian","18-24","unspecified","urban"
"072","Hispanic/Latino","18-24","nonbinary","suburban"
"073","Other","55-64","nonbinary","rural"
"074","Black/African American","25-34","nonbinary","urban"
"075","Native American/Alaska Native","65+","female","rural"
"076","Other","18-24","unspecified","rural"
"077","Other","25-34","female","urban"
"078","Other","18-24","unspecified","rural"
"079","Native American/Alaska Native","55-64","nonbinary","suburban"
"080","Native Hawaiian/Pacific Islander","45-54","male","suburban"
"081","Prefer not to say","35-44","nonbinary","suburban"
"082","Hispanic/Latino","35-44","male","rural"
"083","Native American/Alaska Native","25-34","unspecified","urban"
"084","White","65+","unspecified","urban"
"085","Middle Eastern/North African","25-34","nonbinary","suburban"
"086","Prefer not to say","18-24","unspecified","urban"
"087","Native Hawaiian/Pacific Islander","25-34","unspecified","rural"
"088","Asian","35-44","nonbinary","urban"
"089","Hispanic/Latino","25-34","female","rural"
"090","Middle Eastern/North African","25-34","unspecified","rural"
"091","Other","55-64","male","suburban"
"092","Prefer not to say","18-24","unspecified","urban"
"093","Native Hawaiian/Pacific Islander","35-44","male","suburban"
"094","Black/African American","18-24","unspecified","rural"
"095","Hispanic/Latino","55-64","female","urban"
"096","Multiracial","35-44","unspecified","rural"
"097","Asian","25-34","unspecified","suburban"
"098","Multiracial","18-24","male","rural"
"099","Hispanic/Latino","65+","nonbinary","suburban"
"100","Black/African American","18-24","nonbinary","urban"
