"voter_ID","marital_status","num_kids","religion"
"001","widowed","1","Prefer not to say"
"002","widowed","1","Prefer not to say"
"003","married","4+","Sikh"
"004","prefer not to say","1","Christian"
"005","single/never married","3","Muslim"
"006","prefer not to say","2","Christian"
"007","prefer not to say","0","Hindu"
"008","divorced","0","Jewish"
"009","married","3","Jewish"
"010","prefer not to say","4+","Prefer not to say"
"011","single/never married","3","Sikh"
"012","separated","2","Other"
"013","married","4+","Jewish"
"014","partnered","0","Muslim"
"015","separated","4+","Prefer not to say"
"016","partnered","4+","Hindu"
"017","partnered","3","Prefer not to say"
"018","partnered","3","Buddhist"
"019","separated","2","Jewish"
"020","divorced","1","Hindu"
"021","divorced","0","Jewish"
"022","prefer not to say","4+","Prefer not to say"
"023","widowed","0","none/agnostic/atheist"
"024","separated","1","Sikh"
"025","widowed","4+","Sikh"
"026","widowed","2","Other"
"027","single/never married","4+","Hindu"
"028","separated","0","Christian"
"029","widowed","2","Buddhist"
"030","prefer not to say","2","none/agnostic/atheist"
"031","widowed","1","Christian"
"032","married","3","none/agnostic/atheist"
"033","divorced","3","Jewish"
"034","single/never married","4+","Prefer not to say"
"035","prefer not to say","4+","Buddhist"
"036","divorced","1","Prefer not to say"
"037","married","0","Sikh"
"038","partnered","3","Prefer not to say"
"039","widowed","3","Hindu"
"040","separated","2","none/agnostic/atheist"
"041","married","3","Prefer not to say"
"042","married","2","none/agnostic/atheist"
"043","prefer not to say","2","Sikh"
"044","partnered","1","none/agnostic/atheist"
"045","widowed","1","Sikh"
"046","partnered","0","Buddhist"
"047","married","3","Hindu"
"048","widowed","1","Other"
"049","single/never married","0","Muslim"
"050","divorced","4+","Sikh"
"051","separated","3","Sikh"
"052","separated","4+","Buddhist"
"053","married","1","Jewish"
"054","married","1","Prefer not to say"
"055","prefer not to say","2","Other"
"056","married","1","none/agnostic/atheist"
"057","widowed","4+","Muslim"
"058","divorced","4+","none/agnostic/atheist"
"059","prefer not to say","1","none/agnostic/atheist"
"060","divorced","0","none/agnostic/atheist"
"061","married","0","Jewish"
"062","prefer not to say","2","none/agnostic/atheist"
"063","partnered","0","Prefer not to say"
"064","single/never married","1","Jewish"
"065","separated","2","none/agnostic/atheist"
"066","prefer not to say","3","Christian"
"067","widowed","4+","Muslim"
"068","divorced","0","Christian"
"069","separated","3","Christian"
"070","divorced","4+","Christian"
"071","partnered","3","Buddhist"
"072","divorced","1","Buddhist"
"073","married","4+","Prefer not to say"
"074","separated","2","none/agnostic/atheist"
"075","married","0","none/agnostic/atheist"
"076","prefer not to say","2","none/agnostic/atheist"
"077","separated","0","Other"
"078","divorced","3","Other"
"079","prefer not to say","0","Buddhist"
"080","married","0","Other"
"081","prefer not to say","1","Buddhist"
"082","partnered","3","none/agnostic/atheist"
"083","prefer not to say","2","Buddhist"
"084","prefer not to say","1","Other"
"085","partnered","4+","Hindu"
"086","partnered","1","Buddhist"
"087","separated","3","Hindu"
"088","divorced","4+","Christian"
"089","divorced","2","Other"
"090","widowed","1","Jewish"
"091","married","4+","Other"
"092","widowed","0","Jewish"
"093","widowed","0","Muslim"
"094","widowed","2","Buddhist"
"095","partnered","0","Muslim"
"096","single/never married","1","none/agnostic/atheist"
"097","partnered","1","Other"
"098","single/never married","4+","none/agnostic/atheist"
"099","partnered","4+","Buddhist"
"100","partnered","4+","Christian"
