"voter_ID","education","income"
"001","bachelor","<$25k"
"002","graduate/professional","<$25k"
"003","associate","$75k-$99k"
"004","bachelor","$75k-$99k"
"005","bachelor","$50k-$74k"
"006","some college","prefer not to say"
"007","less than HS","<$25k"
"008","less than HS","<$25k"
"009","associate","$50k-$74k"
"010","some college","<$25k"
"011","HS/GED","<$25k"
"012","associate","$50k-$74k"
"013","graduate/professional","<$25k"
"014","bachelor","$150k+"
"015","less than HS","<$25k"
"016","HS/GED","$50k-$74k"
"017","less than HS","$50k-$74k"
"018","graduate/professional","$100k-$149k"
"019","prefer not to say","$25k-$49k"
"020","associate","prefer not to say"
"021","bachelor","$25k-$49k"
"022","less than HS","<$25k"
"023","some college","<$25k"
"024","HS/GED","<$25k"
"025","HS/GED","$25k-$49k"
"026","graduate/professional","prefer not to say"
"027","bachelor","$75k-$99k"
"028","some college","$150k+"
"029","graduate/professional","$25k-$49k"
"030","associate","$50k-$74k"
"031","associate","$100k-$149k"
"032","graduate/professional","$100k-$149k"
"033","associate","$50k-$74k"
"034","prefer not to say","$75k-$99k"
"035","associate","<$25k"
"036","bachelor","$50k-$74k"
"037","some college","$100k-$149k"
"038","graduate/professional","prefer not to say"
"039","bachelor","$50k-$74k"
"040","less than HS","prefer not to say"
"041","prefer not to say","$100k-$149k"
"042","HS/GED","$50k-$74k"
"043","prefer not to say","$100k-$149k"
"044","associate","$25k-$49k"
"045","some college","$50k-$74k"
"046","bachelor","$50k-$74k"
"047","graduate/professional","$50k-$74k"
"048","prefer not to say","$50k-$74k"
"049","prefer not to say","$25k-$49k"
"050","some college","$150k+"
"051","less than HS","$100k-$149k"
"052","some college","$100k-$149k"
"053","HS/GED","$100k-$149k"
"054","some college","$75k-$99k"
"055","graduate/professional","$50k-$74k"
"056","prefer not to say","$75k-$99k"
"057","some college","prefer not to say"
"058","bachelor","<$25k"
"059","prefer not to say","$75k-$99k"
"060","graduate/professional","$150k+"
"061","some college","<$25k"
"062","prefer not to say","$100k-$149k"
"063","associate","$25k-$49k"
"064","HS/GED","prefer not to say"
"065","HS/GED","<$25k"
"066","prefer not to say","$50k-$74k"
"067","bachelor","$75k-$99k"
"068","bachelor","prefer not to say"
"069","graduate/professional","prefer not to say"
"070","HS/GED","$100k-$149k"
"071","some college","$25k-$49k"
"072","graduate/professional","$50k-$74k"
"073","prefer not to say","$75k-$99k"
"074","some college","prefer not to say"
"075","less than HS","$100k-$149k"
"076","associate","$150k+"
"077","associate","$50k-$74k"
"078","HS/GED","$75k-$99k"
"079","less than HS","$100k-$149k"
"080","prefer not to say","$25k-$49k"
"081","prefer not to say","$50k-$74k"
"082","HS/GED","<$25k"
"083","bachelor","$150k+"
"084","associate","prefer not to say"
"085","graduate/professional","prefer not to say"
"086","HS/GED","prefer not to say"
"087","prefer not to say","$75k-$99k"
"088","bachelor","prefer not to say"
"089","some college","$50k-$74k"
"090","bachelor","$25k-$49k"
"091","HS/GED","$150k+"
"092","some college","$25k-$49k"
"093","bachelor","<$25k"
"094","bachelor","$50k-$74k"
"095","HS/GED","<$25k"
"096","HS/GED","prefer not to say"
"097","less than HS","<$25k"
"098","graduate/professional","prefer not to say"
"099","associate","$75k-$99k"
"100","bachelor","$25k-$49k"
