"county","age","gender"
"King","55-64","Male"
"Kitsap","25-34","Male"
"Thurston","45-54","Male"
"Yakima","18-24","Male"
"Snohomish","55-64","Male"
"King","55-64","Female"
"Pierce","55-64","Male"
"Pierce","35-44","Female"
"Snohomish","35-44","Unknown/Other"
"Thurston","35-44","Male"
"King","45-54","Female"
"Whatcom","35-44","Female"
"King","25-34","Female"
"King","45-54","Female"
"Yakima","18-24","Male"
"Spokane","35-44","Female"
"King","45-54","Male"
"King","45-54","Male"
"Franklin","25-34","Male"
"King","55-64","Male"
"Kitsap","35-44","Female"
"King","65 and over","Male"
"King","65 and over","Male"
"Snohomish","35-44","Male"
"Pierce","18-24","Female"
"Pierce","45-54","Female"
"Kitsap","35-44","Male"
"King","25-34","Female"
"Cowlitz","55-64","Female"
"Kitsap","65 and over","Male"
"Whatcom","25-34","Female"
"Pierce","18-24","Male"
"Lewis","18-24","Female"
"Clark","18-24","Male"
"Mason","65 and over","Female"
"Snohomish","55-64","Male"
"Chelan","45-54","Female"
"Island","65 and over","Female"
"Clallam","35-44","Female"
"Clark","35-44","Female"
"Clark","55-64","Female"
"Benton","45-54","Male"
"Benton","25-34","Male"
"King","65 and over","Female"
"Snohomish","25-34","Male"
"Thurston","25-34","Female"
"Spokane","25-34","Female"
"Whatcom","65 and over","Female"
"King","65 and over","Male"
"King","45-54","Male"
"King","35-44","Male"
"Snohomish","45-54","Female"
"King","55-64","Female"
"King","35-44","Female"
"Mason","65 and over","Male"
"Pierce","25-34","Male"
"King","65 and over","Female"
"Clallam","18-24","Female"
"King","55-64","Female"
"Clark","25-34","Female"
"Snohomish","65 and over","Male"
"Island","65 and over","Female"
"Benton","45-54","Male"
"Whatcom","65 and over","Male"
"Whatcom","25-34","Female"
"Thurston","55-64","Male"
"Pierce","35-44","Female"
"King","55-64","Male"
"Clark","18-24","Female"
"King","45-54","Male"
"Kitsap","55-64","Female"
"Grays Harbor","35-44","Female"
"Spokane","45-54","Female"
"King","25-34","Male"
"King","55-64","Female"
"Lewis","65 and over","Male"
"Spokane","65 and over","Female"
"Snohomish","35-44","Male"
"Snohomish","65 and over","Male"
"Kitsap","55-64","Female"
"Grant","65 and over","Male"
"Kitsap","65 and over","Male"
"Snohomish","55-64","Unknown/Other"
"Jefferson","45-54","Female"
"Spokane","45-54","Male"
"Spokane","65 and over","Female"
"Spokane","65 and over","Female"
"Whatcom","65 and over","Male"
"King","45-54","Female"
"Jefferson","65 and over","Male"
"King","55-64","Male"
"Adams","45-54","Male"
"Clark","35-44","Male"
"Clark","55-64","Female"
"King","25-34","Male"
"Spokane","25-34","Male"
"Whatcom","18-24","Female"
"King","45-54","Male"
"Yakima","18-24","Male"
"Pierce","25-34","Female"
