"age_buckets","gender","wa_county","return_method"
"18-24","female","Adams","dropbox"
"18-24","female","Adams","mail"
"18-24","female","Adams","other"
"18-24","female","Asotin","dropbox"
"18-24","female","Asotin","mail"
"18-24","female","Asotin","other"
"18-24","female","Benton","dropbox"
"18-24","female","Benton","mail"
"18-24","female","Benton","other"
"18-24","female","Chelan","dropbox"
"18-24","female","Chelan","mail"
"18-24","female","Chelan","other"
"18-24","female","Clallam","dropbox"
"18-24","female","Clallam","mail"
"18-24","female","Clallam","other"
"18-24","female","Clark","dropbox"
"18-24","female","Clark","mail"
"18-24","female","Clark","other"
"18-24","female","Columbia","dropbox"
"18-24","female","Columbia","mail"
"18-24","female","Columbia","other"
"18-24","female","Cowlitz","dropbox"
"18-24","female","Cowlitz","mail"
"18-24","female","Cowlitz","other"
"18-24","female","Douglas","dropbox"
"18-24","female","Douglas","mail"
"18-24","female","Douglas","other"
"18-24","female","Ferry","dropbox"
"18-24","female","Ferry","mail"
"18-24","female","Ferry","other"
"18-24","female","Franklin","dropbox"
"18-24","female","Franklin","mail"
"18-24","female","Franklin","other"
"18-24","female","Garfield","dropbox"
"18-24","female","Garfield","mail"
"18-24","female","Garfield","other"
"18-24","female","Grant","dropbox"
"18-24","female","Grant","mail"
"18-24","female","Grant","other"
"18-24","female","Grays Harbor","dropbox"
"18-24","female","Grays Harbor","mail"
"18-24","female","Grays Harbor","other"
"18-24","female","Island","dropbox"
"18-24","female","Island","mail"
"18-24","female","Island","other"
"18-24","female","Jefferson","dropbox"
"18-24","female","Jefferson","mail"
"18-24","female","Jefferson","other"
"18-24","female","King","dropbox"
"18-24","female","King","mail"
"18-24","female","King","other"
"18-24","female","Kitsap","dropbox"
"18-24","female","Kitsap","mail"
"18-24","female","Kitsap","other"
"18-24","female","Kittitas","dropbox"
"18-24","female","Kittitas","mail"
"18-24","female","Kittitas","other"
"18-24","female","Klickitat","dropbox"
"18-24","female","Klickitat","mail"
"18-24","female","Klickitat","other"
"18-24","female","Lewis","dropbox"
"18-24","female","Lewis","mail"
"18-24","female","Lewis","other"
"18-24","female","Lincoln","dropbox"
"18-24","female","Lincoln","mail"
"18-24","female","Lincoln","other"
"18-24","female","Mason","dropbox"
"18-24","female","Mason","mail"
"18-24","female","Mason","other"
"18-24","female","Okanogan","dropbox"
"18-24","female","Okanogan","mail"
"18-24","female","Okanogan","other"
"18-24","female","Pacific","dropbox"
"18-24","female","Pacific","mail"
"18-24","female","Pacific","other"
"18-24","female","Pend Oreille","dropbox"
"18-24","female","Pend Oreille","mail"
"18-24","female","Pend Oreille","other"
"18-24","female","Pierce","dropbox"
"18-24","female","Pierce","mail"
"18-24","female","Pierce","other"
"18-24","female","San Juan","dropbox"
"18-24","female","San Juan","mail"
"18-24","female","San Juan","other"
"18-24","female","Skagit","dropbox"
"18-24","female","Skagit","mail"
"18-24","female","Skagit","other"
"18-24","female","Skamania","dropbox"
"18-24","female","Skamania","mail"
"18-24","female","Skamania","other"
"18-24","female","Snohomish","dropbox"
"18-24","female","Snohomish","mail"
"18-24","female","Snohomish","other"
"18-24","female","Spokane","dropbox"
"18-24","female","Spokane","mail"
"18-24","female","Spokane","other"
"18-24","female","Stevens","dropbox"
"18-24","female","Stevens","mail"
"18-24","female","Stevens","other"
"18-24","female","Thurston","dropbox"
"18-24","female","Thurston","mail"
"18-24","female","Thurston","other"
"18-24","female","Wahkiakum","dropbox"
"18-24","female","Wahkiakum","mail"
"18-24","female","Wahkiakum","other"
"18-24","female","Walla Walla","dropbox"
"18-24","female","Walla Walla","mail"
"18-24","female","Walla Walla","other"
"18-24","female","Whatcom","dropbox"
"18-24","female","Whatcom","mail"
"18-24","female","Whatcom","other"
"18-24","female","Whitman","dropbox"
"18-24","female","Whitman","mail"
"18-24","female","Whitman","other"
"18-24","female","Yakima","dropbox"
"18-24","female","Yakima","mail"
"18-24","female","Yakima","other"
"18-24","male","Adams","dropbox"
"18-24","male","Adams","mail"
"18-24","male","Adams","other"
"18-24","male","Asotin","dropbox"
"18-24","male","Asotin","mail"
"18-24","male","Asotin","other"
"18-24","male","Benton","dropbox"
"18-24","male","Benton","mail"
"18-24","male","Benton","other"
"18-24","male","Chelan","dropbox"
"18-24","male","Chelan","mail"
"18-24","male","Chelan","other"
"18-24","male","Clallam","dropbox"
"18-24","male","Clallam","mail"
"18-24","male","Clallam","other"
"18-24","male","Clark","dropbox"
"18-24","male","Clark","mail"
"18-24","male","Clark","other"
"18-24","male","Columbia","dropbox"
"18-24","male","Columbia","mail"
"18-24","male","Columbia","other"
"18-24","male","Cowlitz","dropbox"
"18-24","male","Cowlitz","mail"
"18-24","male","Cowlitz","other"
"18-24","male","Douglas","dropbox"
"18-24","male","Douglas","mail"
"18-24","male","Douglas","other"
"18-24","male","Ferry","dropbox"
"18-24","male","Ferry","mail"
"18-24","male","Ferry","other"
"18-24","male","Franklin","dropbox"
"18-24","male","Franklin","mail"
"18-24","male","Franklin","other"
"18-24","male","Garfield","dropbox"
"18-24","male","Garfield","mail"
"18-24","male","Garfield","other"
"18-24","male","Grant","dropbox"
"18-24","male","Grant","mail"
"18-24","male","Grant","other"
"18-24","male","Grays Harbor","dropbox"
"18-24","male","Grays Harbor","mail"
"18-24","male","Grays Harbor","other"
"18-24","male","Island","dropbox"
"18-24","male","Island","mail"
